nodo,hora,pax
LineaC:1097,20,172
LineaC:1097,21,89
LineaC:1097,22,62
LineaC:1097,23,20
LineaC:1098,5,12
LineaC:1098,6,39
LineaC:1098,7,78
LineaC:1098,8,106
LineaC:1098,9,132
LineaC:1098,10,145
LineaC:1098,11,196
LineaC:1098,12,183
LineaC:1098,13,190
LineaC:1098,14,223
LineaC:1098,15,369
LineaC:1098,16,410
LineaC:1098,17,473
LineaC:1098,18,269
LineaC:1098,19,188
LineaC:1098,20,189
LineaC:1098,21,93
LineaC:1098,22,46
LineaC:1098,23,6
LineaC:1099,5,2
LineaC:1099,6,26
LineaC:1099,7,74
LineaC:1099,8,81
LineaC:1099,9,119
LineaC:1099,10,104
LineaC:1099,11,135
LineaC:1099,12,191
LineaC:1099,13,224
LineaC:1099,14,328
LineaC:1099,15,451
LineaC:1099,16,517
LineaC:1099,17,708
LineaC:1099,18,483
LineaC:1099,19,190
LineaC:1099,20,182
LineaC:1099,21,99
LineaC:1099,22,27
LineaC:1099,23,4
LineaC:1100,5,13
LineaC:1100,6,38
LineaC:1100,7,92
LineaC:1100,8,70
LineaC:1100,9,86
LineaC:1100,10,120
LineaC:1100,11,137
LineaC:1100,12,166
LineaC:1100,13,227
LineaC:1100,14,290
LineaC:1100,15,526
LineaC:1100,16,840
LineaC:1100,17,878
LineaC:1100,18,709
LineaC:1100,19,360
LineaC:1100,20,220
LineaC:1100,21,139
LineaC:1100,22,40
LineaC:1100,23,5
LineaC:1101,5,5
LineaC:1101,6,26
LineaC:1101,7,69
LineaC:1101,8,72
LineaC:1101,9,80
LineaC:1101,10,107
LineaC:1101,11,146
LineaC:1101,12,156
LineaC:1101,13,189
LineaC:1101,14,213
LineaC:1101,15,274
LineaC:1101,16,363
LineaC:1101,17,764
LineaC:1101,18,653
LineaC:1101,19,323
LineaC:1101,20,163
LineaC:1101,21,110
LineaC:1101,22,37
LineaC:1101,23,7
LineaC:1102,5,156
LineaC:1102,6,642
LineaC:1102,7,1636
LineaC:1102,8,2038
LineaC:1102,9,1536
LineaC:1102,10,1187
LineaC:1102,11,973
LineaC:1102,12,1140
LineaC:1102,13,1569
LineaC:1102,14,1407
LineaC:1102,15,1498
LineaC:1102,16,1927
LineaC:1102,17,2497
LineaC:1102,18,2405
LineaC:1102,19,1222
LineaC:1102,20,770
LineaC:1102,21,509
LineaC:1102,22,299
LineaC:1102,23,19
LineaD:1103,5,93
LineaD:1103,6,757
LineaD:1103,7,2501
LineaD:1103,8,3076
LineaD:1103,9,2216
LineaD:1103,10,1270
LineaD:1103,11,1150
LineaD:1103,12,1369
LineaD:1103,13,1519
LineaD:1103,14,1123
LineaD:1103,15,1162
LineaD:1103,16,1392
LineaD:1103,17,1862
LineaD:1103,18,1663
LineaD:1103,19,785
LineaD:1103,20,532
LineaD:1103,21,257
LineaD:1103,22,119
LineaD:1103,23,4
LineaD:1104,5,28
LineaD:1104,6,201
LineaD:1104,7,780
LineaD:1104,8,947
LineaD:1104,9,774
LineaD:1104,10,583
LineaD:1104,11,555
LineaD:1104,12,706
LineaD:1104,13,803
LineaD:1104,14,625
LineaD:1104,15,654
LineaD:1104,16,779
LineaD:1104,17,1013
LineaD:1104,18,996
LineaD:1104,19,689
LineaD:1104,20,529
LineaD:1104,21,234
LineaD:1104,22,129
LineaD:1104,23,1
LineaD:1105,5,18
LineaD:1105,6,183
LineaD:1105,7,698
LineaD:1105,8,830
LineaD:1105,9,711
LineaD:1105,10,474
LineaD:1105,11,419
LineaD:1105,12,552
LineaD:1105,13,527
LineaD:1105,14,437
LineaD:1105,15,449
LineaD:1105,16,611
LineaD:1105,17,616
LineaD:1105,18,598
LineaD:1105,19,414
LineaD:1105,20,256
LineaD:1105,21,154
LineaD:1105,22,49
LineaD:1105,23,8
LineaD:1106,5,16
LineaD:1106,6,165
LineaD:1106,7,578
LineaD:1106,8,830
LineaD:1106,9,638
LineaD:1106,10,450
LineaD:1106,11,391
LineaD:1106,12,483
LineaD:1106,13,519
LineaD:1106,14,423
LineaD:1106,15,489
LineaD:1106,16,598
LineaD:1106,17,566
LineaD:1106,18,643
LineaD:1106,19,413
LineaD:1106,20,324
LineaD:1106,21,177
LineaD:1106,22,81
LineaD:1106,23,3
LineaD:1107,5,15
LineaD:1107,6,191
LineaD:1107,7,625
LineaD:1107,8,859
LineaD:1107,9,718
LineaD:1107,10,515
LineaD:1107,11,482
LineaD:1107,12,628
LineaD:1107,13,644
LineaD:1107,14,496
LineaD:1107,15,511
LineaD:1107,16,642
LineaD:1107,17,814
LineaD:1107,18,717
LineaD:1107,19,449
LineaD:1107,20,301
LineaD:1107,21,214
LineaD:1107,22,108
LineaD:1107,23,13
LineaD:1108,5,45
LineaD:1108,6,227
LineaD:1108,7,706
LineaD:1108,8,924
LineaD:1108,9,969
LineaD:1108,10,772
LineaD:1108,11,689
LineaD:1108,12,822
LineaD:1108,13,940
LineaD:1108,14,836
LineaD:1108,15,832
LineaD:1108,16,1144
LineaD:1108,17,1241
LineaD:1108,18,1193
LineaD:1108,19,714
LineaD:1108,20,490
LineaD:1108,21,350
LineaD:1108,22,181
LineaD:1108,23,25
LineaD:1109,5,22
