linea,periodo,sentido_hacia,orden_llegada,nodo,estacion_sbase,suben,bajan,carga_saliente
LineaB,HPT,JMRosas,16,LineaB:1078,Echeverria,1.406262023724077,788.7742575251642,3122.2465747253395
LineaB,HPT,JMRosas,17,LineaB:1077,JMRosas,0.0,3122.246574725335,4.547473508864641e-12
LineaC,HPM,Constitucion,1,LineaC:1094,Constitucion,0.0,1234.294363035304,0.0
LineaC,HPM,Constitucion,2,LineaC:1095,SanJuan,5.404592791481045,485.1797802627676,1234.294363035303
LineaC,HPM,Constitucion,3,LineaC:1096,Indepen,157.5233775264987,887.0140741502402,1714.0695505065896
LineaC,HPM,Constitucion,4,LineaC:1097,Mariano Moreno,51.0,478.2370155256983,2443.560247130331
LineaC,HPM,Constitucion,5,LineaC:1098,AVMayo,586.3288419251926,590.3840404972286,2870.7972626560295
LineaC,HPM,Constitucion,6,LineaC:1099,DNorte,1401.5578736144,629.4441287133172,2874.8524612280657
LineaC,HPM,Constitucion,7,LineaC:1100,Lavalle,84.39503779907069,160.27945184941214,2102.7387163269827
LineaC,HPM,Constitucion,8,LineaC:1101,SanMartin,65.0,29.709476608141166,2178.623130377324
LineaC,HPM,Constitucion,9,LineaC:1102,Retiro,2143.332606985465,0.0,2143.332606985465
LineaC,HPM,Retiro,1,LineaC:1094,Constitucion,12010.57530146549,0.0,12010.57530146549
LineaC,HPM,Retiro,2,LineaC:1095,SanJuan,309.4462962969459,71.20369195840274,12248.817905804033
LineaC,HPM,Retiro,3,LineaC:1096,Indepen,381.0,804.9730591413285,11824.844846662705
LineaC,HPM,Retiro,4,LineaC:1097,Mariano Moreno,75.0,330.7411431364498,11569.103703526256
LineaC,HPM,Retiro,5,LineaC:1098,AVMayo,896.5690659629813,2158.9796383080325,10306.693131181206
LineaC,HPM,Retiro,6,LineaC:1099,DNorte,349.4507837926583,6133.959175221769,4522.184739752094
LineaC,HPM,Retiro,7,LineaC:1100,Lavalle,12.60496220092931,1043.0525911272528,3491.737110825771
LineaC,HPM,Retiro,8,LineaC:1101,SanMartin,11.0,879.1660869075927,2623.5710239181785
LineaC,HPM,Retiro,9,LineaC:1102,Retiro,0.0,2623.571023918176,0.0
LineaC,HPT,Constitucion,1,LineaC:1094,Constitucion,0.0,9411.13683726056,0.0
LineaC,HPT,Constitucion,2,LineaC:1095,SanJuan,15.42409797535539,392.64797707308037,9411.13683726056
LineaC,HPT,Constitucion,3,LineaC:1096,Indepen,827.9622217500785,1319.8388884143221,9788.360716358284
LineaC,HPT,Constitucion,4,LineaC:1097,Mariano Moreno,217.0,197.56345103456937,10280.237383022528
LineaC,HPT,Constitucion,5,LineaC:1098,AVMayo,1901.60974901669,783.8275423993981,10260.800834057098
LineaC,HPT,Constitucion,6,LineaC:1099,DNorte,5123.230379873236,514.6047807480154,9143.018627439806
LineaC,HPT,Constitucion,7,LineaC:1100,Lavalle,845.7023425055182,37.94806818013476,4534.393028314585
LineaC,HPT,Constitucion,8,LineaC:1101,SanMartin,584.0,1.2856327530126432,3726.6387539892016
LineaC,HPT,Constitucion,9,LineaC:1102,Retiro,3143.924386742214,0.0,3143.924386742214
LineaC,HPT,Retiro,1,LineaC:1094,Constitucion,2722.802893242381,0.0,2722.802893242381
LineaC,HPT,Retiro,2,LineaC:1095,SanJuan,330.2386990640321,48.88869548964798,3004.152896816765
LineaC,HPT,Retiro,3,LineaC:1096,Indepen,705.0,259.10554818709807,3450.047348629667
LineaC,HPT,Retiro,4,LineaC:1097,Mariano Moreno,470.0,53.05915662534432,3866.9881920043226
LineaC,HPT,Retiro,5,LineaC:1098,AVMayo,572.6516784576506,608.7665619908112,3830.873308471162
LineaC,HPT,Retiro,6,LineaC:1099,DNorte,554.5122613091112,1813.288350886376,2572.0972188938977
LineaC,HPT,Retiro,7,LineaC:1100,Lavalle,135.2976574944818,239.41741836684847,2467.977458021531
LineaC,HPT,Retiro,8,LineaC:1101,SanMartin,54.0,137.0551071797421,2384.922350841789
LineaC,HPT,Retiro,9,LineaC:1102,Retiro,0.0,2384.9223508417876,0.0
LineaD,HPM,Catedral,1,LineaD:1118,Catedral,0.0,4221.389559982863,0.0
LineaD,HPM,Catedral,2,LineaD:1117,9 de julio,598.4339317625083,2336.326801138234,4221.389559982861
LineaD,HPM,Catedral,3,LineaD:1116,Tribuna,66.71242359158806,1025.558518093421,5959.282429358586
LineaD,HPM,Catedral,4,LineaD:1115,CallaoD,152.7161576968771,814.4137952420156,6918.12852386042
LineaD,HPM,Catedral,5,LineaD:1114,FMedicina,150.0,411.10763542621123,7579.826161405558
LineaD,HPM,Catedral,6,LineaD:1113,Pueyrredon,1043.236067052801,1268.7324232487524,7840.9337968317695
LineaD,HPM,Catedral,7,LineaD:1112,Aguero,406.0,181.13345484311404,8066.430153027722
LineaD,HPM,Catedral,8,LineaD:1111,Bulnes,472.0,224.9456873086816,7841.563607870836
LineaD,HPM,Catedral,9,LineaD:1110,Scal Ortiz,563.0,114.41203061389842,7594.509295179518
LineaD,HPM,Catedral,10,LineaD:1109,Pitalia,445.4196030446996,72.80199597696917,7145.921325793416
LineaD,HPM,Catedral,11,LineaD:1108,Palermo,886.025414827674,97.8948921229762,6773.303718725686
LineaD,HPM,Catedral,12,LineaD:1107,Carranza,670.0850168130416,38.37156063472981,5985.173196020988
LineaD,HPM,Catedral,13,LineaD:1106,Olleros,740.5619261771672,15.654347541496199,5353.459739842676
LineaD,HPM,Catedral,14,LineaD:1105,J Hernandez,905.016024704097,22.341547161660362,4628.552161207005
LineaD,HPM,Catedral,15,LineaD:1104,Juramento,977.6194318969817,8.741748232413581,3745.8776836645684
LineaD,HPM,Catedral,16,LineaD:1103,CongresoTuc,2777.0,0.0,2777.0
LineaD,HPM,CongresoTuc,1,LineaD:1118,Catedral,1230.0,0.0,1230.0
LineaD,HPM,CongresoTuc,2,LineaD:1117,9 de julio,3361.906624058277,114.26692379304836,4477.639700265228
LineaD,HPM,CongresoTuc,3,LineaD:1116,Tribuna,169.3379908859171,444.7595163920499,4202.218174759096
LineaD,HPM,CongresoTuc,4,LineaD:1115,CallaoD,237.2838423031229,299.2378617137909,4140.264155348427
LineaD,HPM,CongresoTuc,5,LineaD:1114,FMedicina,243.0,261.6328295266561,4121.6313258217715
LineaD,HPM,CongresoTuc,6,LineaD:1113,Pueyrredon,1794.112530153178,537.996065067972,5377.747790906978
LineaD,HPM,CongresoTuc,7,LineaD:1112,Aguero,182.0,415.9169749615718,5143.830815945405
LineaD,HPM,CongresoTuc,8,LineaD:1111,Bulnes,172.0,492.9840815618012,4822.846734383605
LineaD,HPM,CongresoTuc,9,LineaD:1110,Scal Ortiz,193.4,574.138709239051,4442.108025144553
LineaD,HPM,CongresoTuc,10,LineaD:1109,Pitalia,47.58039695530039,544.0467482516159,3945.6416738482376
LineaD,HPM,CongresoTuc,11,LineaD:1108,Palermo,242.9745851723259,1142.2636390565465,3046.3526199640164
LineaD,HPM,CongresoTuc,12,LineaD:1107,Carranza,51.9149831869583,399.02047318887924,2699.247129962095
LineaD,HPM,CongresoTuc,13,LineaD:1106,Olleros,18.43807382283285,320.808762443509,2396.876441341419
LineaD,HPM,CongresoTuc,14,LineaD:1105,J Hernandez,16.77344971213235,738.8040841329765,1674.845806920575
LineaD,HPM,CongresoTuc,15,LineaD:1104,Juramento,7.321641929386994,1030.5079012326444,651.6595476173175
LineaD,HPM,CongresoTuc,16,LineaD:1103,CongresoTuc,0.0,651.6595476173194,-1.9326762412674725e-12
LineaD,HPT,Catedral,1,LineaD:1118,Catedral,0.0,1568.7102164032178,0.0
LineaD,HPT,Catedral,2,LineaD:1117,9 de julio,277.4597147095805,3648.8554540700925,1568.7102164032167
LineaD,HPT,Catedral,3,LineaD:1116,Tribuna,339.4342013344041,352.2919219456112,4940.105955763729
LineaD,HPT,Catedral,4,LineaD:1115,CallaoD,381.946098101621,668.3129540036189,4952.963676374937
LineaD,HPT,Catedral,5,LineaD:1114,FMedicina,264.0,344.65978216303296,5239.330532276935
LineaD,HPT,Catedral,6,LineaD:1113,Pueyrredon,717.8275124100217,2593.2551414164172,5319.990314439968
LineaD,HPT,Catedral,7,LineaD:1112,Aguero,396.0,259.9101566401709,7195.417943446363
LineaD,HPT,Catedral,8,LineaD:1111,Bulnes,717.0,466.9584145434641,7059.328100086534
LineaD,HPT,Catedral,9,LineaD:1110,Scal Ortiz,613.0,264.81191474109863,6809.286514629997
