comp_origen,comp_destino,rango_horario,etapas,expandidas,expandidas_completas
LineaB:1086,LineaD:1103,7,1,1.2234557595993325,1.2234557595993325
LineaB:1086,LineaD:1103,8,2,2.414133028950918,2.414133028950918
LineaB:1086,LineaD:1103,10,1,1.252369627408403,1.252369627408403
LineaB:1086,LineaD:1103,11,3,3.7573183213920154,3.7573183213920154
LineaB:1086,LineaD:1103,12,4,5.001364484419816,5.001364484419816
LineaB:1086,LineaD:1103,13,1,1.2563479271804898,1.2563479271804898
LineaB:1086,LineaD:1103,15,7,8.784473844685419,8.784473844685419
LineaB:1086,LineaD:1103,16,2,2.5167715108220494,1.2583857554110247
LineaB:1086,LineaD:1103,17,11,13.787608627912613,12.53418966173874
LineaB:1086,LineaD:1103,18,7,8.851881820822442,7.587327274990663
LineaB:1086,LineaD:1103,19,6,8.090394604232886,8.090394604232886
LineaB:1086,LineaD:1103,20,4,5.569186560565871,5.569186560565871
LineaB:1086,LineaD:1103,21,1,1.427680478428022,1.427680478428022
LineaB:1086,LineaD:1103,22,3,4.278967867575463,4.278967867575463
LineaB:1086,LineaD:1103,23,1,1.4884910485933505,1.4884910485933505
LineaB:1086,LineaD:1104,5,1,1.2606164383561644,1.2606164383561644
LineaB:1086,LineaD:1104,7,3,3.6703672787979977,3.6703672787979977
LineaB:1086,LineaD:1104,8,2,2.414133028950918,2.414133028950918
LineaB:1086,LineaD:1104,9,1,1.2288473505888862,1.2288473505888862
LineaB:1086,LineaD:1104,10,4,5.009478509633612,5.009478509633612
LineaB:1086,LineaD:1104,13,3,3.7690437815414697,3.7690437815414697
LineaB:1086,LineaD:1104,14,2,2.4983328827611064,2.4983328827611064
LineaB:1086,LineaD:1104,15,5,6.274624174775299,6.274624174775299
LineaB:1086,LineaD:1104,16,5,6.291928777055124,6.291928777055124
LineaB:1086,LineaD:1104,17,2,2.506837932347748,2.506837932347748
LineaB:1086,LineaD:1104,18,3,3.7936636374953316,3.7936636374953316
LineaB:1086,LineaD:1104,19,1,1.348399100705481,1.348399100705481
LineaB:1086,LineaD:1104,20,3,4.176889920424403,4.176889920424403
LineaB:1086,LineaD:1104,21,1,1.427680478428022,1.427680478428022
LineaB:1086,LineaD:1104,22,3,4.278967867575463,4.278967867575463
LineaB:1086,LineaD:1105,7,1,1.2234557595993325,1.2234557595993325
LineaB:1086,LineaD:1105,9,2,2.4576947011777723,2.4576947011777723
LineaB:1086,LineaD:1105,11,6,7.514636642784031,7.514636642784031
LineaB:1086,LineaD:1105,12,1,1.250341121104954,1.250341121104954
LineaB:1086,LineaD:1105,13,3,3.7690437815414697,3.7690437815414697
LineaB:1086,LineaD:1105,14,1,1.2491664413805532,1.2491664413805532
LineaB:1086,LineaD:1105,15,2,2.50984966991012,2.50984966991012
LineaB:1086,LineaD:1105,16,2,2.5167715108220494,2.5167715108220494
LineaB:1086,LineaD:1105,17,5,6.26709483086937,6.26709483086937
LineaB:1086,LineaD:1105,18,1,1.2645545458317773,1.2645545458317773
LineaB:1086,LineaD:1105,19,3,4.045197302116443,4.045197302116443
LineaB:1086,LineaD:1105,20,1,1.3922966401414678,1.3922966401414678
LineaB:1086,LineaD:1105,21,1,1.427680478428022,1.427680478428022
LineaB:1086,LineaD:1106,7,1,1.2234557595993325,1.2234557595993325
