linea,cabecera,hora,n,mediana,media,p10,p90,minimo,maximo,desvio
D,A,8,3527,219.0,225.8,145.0,307.0,3.0,1450.0,81.3
D,A,9,3461,222.0,229.6,152.0,309.0,45.0,1177.0,73.4
D,A,10,3125,239.0,249.4,160.0,351.0,25.0,917.0,80.2
D,A,11,3096,256.0,261.0,162.5,358.0,65.0,1727.0,91.2
D,A,12,3023,255.0,263.1,171.0,356.0,0.0,1155.0,81.1
D,A,13,3019,255.0,259.9,167.0,352.0,71.0,1467.0,83.3
D,A,14,3199,239.0,248.0,160.0,340.0,5.0,1183.0,79.3
D,A,15,3437,225.0,234.1,155.0,311.0,26.0,7328.0,150.4
D,A,16,3445,219.0,228.8,155.0,314.0,70.0,804.0,69.3
D,A,17,3472,221.0,228.7,153.0,312.0,7.0,1280.0,69.7
D,A,18,3369,231.0,236.6,156.8,316.0,80.0,1122.0,69.8
D,A,19,3179,244.0,251.7,169.0,334.2,52.0,814.0,72.1
D,A,20,2684,284.0,291.8,179.0,404.0,72.0,880.0,90.9
D,A,21,2252,356.0,353.3,265.0,431.0,120.0,738.0,71.2
D,A,22,2105,359.0,362.4,303.4,416.6,97.0,1027.0,60.2
D,A,23,253,422.0,478.7,341.0,740.0,238.0,1577.0,200.7
