linea,periodo,sentido_hacia,orden_llegada,nodo,estacion_sbase,suben,bajan,carga_saliente,direction_id,carga_predicha,comparable,dif
LineaE,HPM,Virreyes,8,LineaE:1123,ERios,139.31733537925987,74.7920521877882,1086.6924146634917,0.0,852.0,True,-234.69241466349172
LineaE,HPM,Virreyes,9,LineaE:1124,Pichin,77.0,43.23948765782155,1120.45292700567,0.0,862.0,True,-258.45292700567006
LineaE,HPM,Virreyes,10,LineaE:1125,Jujuy,328.18987840244165,438.0573083258269,1010.5854970822847,0.0,777.0,True,-233.58549708228475
LineaE,HPM,Virreyes,11,LineaE:1126,Urquiza,14.924554153687442,93.9312301210995,931.5788211148728,0.0,714.0,True,-217.57882111487277
LineaE,HPM,Virreyes,12,LineaE:1127,Boedo,19.25399045342055,135.73804641217515,815.0947651561182,0.0,626.0,True,-189.09476515611823
LineaE,HPM,Virreyes,13,LineaE:1128,LaPlata,6.379371533872096,153.64673960971538,667.827397080275,0.0,466.0,True,-201.82739708027498
LineaE,HPM,Virreyes,14,LineaE:1129,Moreno,9.548054018549903,131.2947728224477,546.0806782763772,0.0,376.0,True,-170.08067827637717
LineaE,HPM,Virreyes,15,LineaE:1130,EMitre,6.448078389211396,143.32002362108383,409.2087330445048,0.0,268.0,True,-141.2087330445048
LineaE,HPM,Virreyes,16,LineaE:1131,Medalla,1.3814954009062814,125.06648923992059,285.5237392054905,0.0,212.0,True,-73.52373920549047
LineaE,HPM,Virreyes,17,LineaE:1132,Varela,0.0,81.36580286941914,204.15793633607132,0.0,154.0,True,-50.157936336071316
LineaE,HPM,Virreyes,18,LineaE:1133,Virreyes,0.0,204.15793633607103,2.8421709430404007e-13,0.0,0.0,False,-2.8421709430404007e-13
LineaH,HPM,Hospitales,1,LineaH:1134,Hospitales,0.0,476.06244853841383,0.0,0.0,0.0,False,0.0
LineaH,HPM,Hospitales,2,LineaH:1135,Patricios,2.704476748571095,636.7047369921864,476.0624485384136,0.0,575.0,True,98.9375514615864
LineaH,HPM,Hospitales,3,LineaH:1136,Caseros,5.705438305886577,657.7042755691655,1110.062708782029,0.0,1595.0,True,484.93729121797105
LineaH,HPM,Hospitales,4,LineaH:1137,Inclan,11.19090088764303,230.1052542918752,1762.0615460453078,0.0,2339.0,True,576.9384539546922
LineaH,HPM,Hospitales,5,LineaH:1138,HPrimo,125.1820328809719,1021.3696434935723,1980.97589944954,0.0,2605.0,True,624.0241005504599
LineaH,HPM,Hospitales,6,LineaH:1139,Venezuela,114.094061557092,196.59195200641892,2877.1635100621406,0.0,2927.0,True,49.83648993785937
LineaH,HPM,Hospitales,7,LineaH:1140,Once,562.0866019925347,756.057759530797,2959.6614005114675,0.0,3067.0,True,107.33859948853251
LineaH,HPM,Hospitales,8,LineaH:1141,Corrientes,992.1631788227503,189.60497058431318,3153.6325580497296,0.0,3094.0,True,-59.632558049729596
LineaH,HPM,Hospitales,9,LineaH:1160,Cordoba,243.425114457455,35.14351777997945,2351.0743498112924,0.0,2158.0,True,-193.07434981129245
LineaH,HPM,Hospitales,10,LineaH:1161,SantaFe,1712.93914737485,81.25145694724603,2142.792753133817,0.0,1998.0,True,-144.79275313381686
LineaH,HPM,Hospitales,11,LineaH:1162,LasHeras,367.827657326563,0.7225946203501479,511.10506270621283,0.0,451.0,True,-60.105062706212834
LineaH,HPM,Hospitales,12,LineaH:1163,FDerecho,144.0,0.0,144.0,0.0,95.0,True,-49.0
LineaH,HPM,Fderecho,1,LineaH:1134,Hospitales,2291.217237462982,0.0,2291.217237462982,1.0,2297.0,True,5.782762537017788
LineaH,HPM,Fderecho,2,LineaH:1135,Patricios,881.2955232514289,2.5218762534894807,3169.9908844609217,1.0,3398.0,True,228.00911553907827
LineaH,HPM,Fderecho,3,LineaH:1136,Caseros,587.2945616941134,15.391796355637716,3741.8936497993973,1.0,3978.0,True,236.10635020060272
LineaH,HPM,Fderecho,4,LineaH:1137,Inclan,523.4801392909241,13.955555885063973,4251.418233205257,1.0,4471.0,True,219.5817667947431
LineaH,HPM,Fderecho,5,LineaH:1138,HPrimo,1119.511686719842,223.0004476218295,5147.92947230327,1.0,5576.0,True,428.0705276967301
LineaH,HPM,Fderecho,6,LineaH:1139,Venezuela,543.3441650014494,86.10944529723547,5605.1641920074835,1.0,6080.0,True,474.8358079925165
