periodo,origen,destino,viajes
hpt,LineaA:1060,LineaB:1082,3.0
hpt,LineaA:1060,LineaB:1085,2.0
hpt,LineaA:1060,LineaB:1086,9.0
hpt,LineaA:1060,LineaB:1087,3.0
hpt,LineaA:1060,LineaB:1088,3.0
hpt,LineaA:1060,LineaB:1089,6.0
hpt,LineaA:1060,LineaB:1091,7.0
hpt,LineaA:1060,LineaB:1092,1.0
hpt,LineaA:1060,LineaB:1093,1.0
hpt,LineaA:1060,LineaC:1094,105.0
hpt,LineaA:1060,LineaC:1095,8.0
hpt,LineaA:1060,LineaC:1096,6.0
hpt,LineaA:1060,LineaC:1097,4.0
hpt,LineaA:1060,LineaC:1098,3.0
hpt,LineaA:1060,LineaC:1100,6.0
hpt,LineaA:1060,LineaC:1102,8.0
hpt,LineaA:1060,LineaD:1103,4.0
hpt,LineaA:1060,LineaD:1104,5.0
hpt,LineaA:1060,LineaD:1106,3.0
hpt,LineaA:1060,LineaD:1107,2.0
hpt,LineaA:1060,LineaD:1108,7.0
hpt,LineaA:1060,LineaD:1109,5.0
hpt,LineaA:1060,LineaD:1111,2.0
hpt,LineaA:1060,LineaD:1112,3.0
hpt,LineaA:1060,LineaD:1113,4.0
hpt,LineaA:1060,LineaD:1115,4.0
hpt,LineaA:1060,LineaD:1116,2.0
hpt,LineaA:1060,LineaD:1117,2.0
hpt,LineaA:1060,LineaD:1118,7.0
hpt,LineaA:1060,LineaE:1132,2.0
hpt,LineaA:1060,LineaE:1131,1.0
hpt,LineaA:1060,LineaE:1130,1.0
hpt,LineaA:1060,LineaE:1128,3.0
hpt,LineaA:1060,LineaE:1127,1.0
hpt,LineaA:1060,LineaE:1126,2.0
hpt,LineaA:1060,LineaE:1125,2.0
hpt,LineaA:1060,LineaE:1123,7.0
hpt,LineaA:1060,LineaE:1121,26.0
hpt,LineaA:1060,LineaE:1120,2.0
hpt,LineaA:1060,LineaE:1119,5.0
hpt,LineaA:1060,LineaH:1134,5.0
hpt,LineaA:1060,LineaH:1135,5.0
hpt,LineaA:1060,LineaH:1136,3.0
hpt,LineaA:1060,LineaH:1137,4.0
hpt,LineaA:1060,LineaH:1138,3.0
hpt,LineaA:1060,LineaH:1139,4.0
hpt,LineaA:1060,LineaH:1140,4.0
hpt,LineaA:1060,LineaH:1160,6.0
hpt,LineaA:1060,LineaH:1161,14.0
hpt,LineaA:1060,LineaH:1162,8.0
hpt,LineaA:1060,LineaH:1163,2.0
hpt,LineaA:1060,LineaE:1166,2.0
hpt,LineaA:1060,LineaE:1165,2.0
hpt,LineaA:1060,LineaE:1164,3.0
hpt,LineaA:1061,LineaA:1059,18.0
hpt,LineaA:1061,LineaA:1060,14.0
hpt,LineaA:1061,LineaA:1062,2.0
hpt,LineaA:1061,LineaA:1063,22.0
hpt,LineaA:1061,LineaA:1064,30.0
hpt,LineaA:1061,LineaA:1065,30.0
hpt,LineaA:1061,LineaA:1066,22.0
hpt,LineaA:1061,LineaA:1067,20.0
hpt,LineaA:1061,LineaA:1068,18.0
hpt,LineaA:1061,LineaA:1069,11.0
hpt,LineaA:1061,LineaA:1070,2.0
hpt,LineaA:1061,LineaA:1071,38.0
hpt,LineaA:1061,LineaA:1072,12.0
hpt,LineaA:1061,LineaA:1073,18.0
hpt,LineaA:1061,LineaA:1074,10.0
hpt,LineaA:1061,LineaA:1075,11.0
hpt,LineaA:1061,LineaA:1076,34.0
hpt,LineaA:1061,LineaB:1077,4.0
hpt,LineaA:1061,LineaB:1081,2.0
hpt,LineaA:1061,LineaB:1082,2.0
hpt,LineaA:1061,LineaB:1083,2.0
hpt,LineaA:1061,LineaB:1085,2.0
hpt,LineaA:1061,LineaB:1086,5.0
hpt,LineaA:1061,LineaB:1087,2.0
hpt,LineaA:1061,LineaB:1089,6.0
hpt,LineaA:1061,LineaB:1090,2.0
hpt,LineaA:1061,LineaB:1091,2.0
hpt,LineaA:1061,LineaB:1092,2.0
hpt,LineaA:1061,LineaC:1094,67.0
hpt,LineaA:1061,LineaC:1095,4.0
hpt,LineaA:1061,LineaC:1096,2.0
hpt,LineaA:1061,LineaC:1101,4.0
hpt,LineaA:1061,LineaC:1102,11.0
hpt,LineaA:1061,LineaD:1103,2.0
hpt,LineaA:1061,LineaD:1104,2.0
hpt,LineaA:1061,LineaD:1105,2.0
hpt,LineaA:1061,LineaD:1106,2.0
hpt,LineaA:1061,LineaD:1107,2.0
hpt,LineaA:1061,LineaD:1108,4.0
hpt,LineaA:1061,LineaD:1110,2.0
hpt,LineaA:1061,LineaD:1111,5.0
hpt,LineaA:1061,LineaD:1113,4.0
hpt,LineaA:1061,LineaD:1115,2.0
hpt,LineaA:1061,LineaD:1116,2.0
hpt,LineaA:1061,LineaD:1118,2.0
hpt,LineaA:1061,LineaE:1131,2.0
hpt,LineaA:1061,LineaE:1128,2.0
hpt,LineaA:1061,LineaE:1121,21.0
hpt,LineaA:1061,LineaE:1120,4.0
hpt,LineaA:1061,LineaE:1119,4.0
hpt,LineaA:1061,LineaH:1134,6.0
hpt,LineaA:1061,LineaH:1135,4.0
hpt,LineaA:1061,LineaH:1136,2.0
hpt,LineaA:1061,LineaH:1137,4.0
hpt,LineaA:1061,LineaH:1139,2.0
hpt,LineaA:1061,LineaH:1140,6.0
hpt,LineaA:1061,LineaH:1141,2.0
hpt,LineaA:1061,LineaH:1160,8.0
hpt,LineaA:1061,LineaH:1161,12.0
hpt,LineaA:1061,LineaH:1162,11.0
hpt,LineaA:1061,LineaH:1163,8.0
hpt,LineaA:1061,LineaE:1166,2.0
hpt,LineaA:1062,LineaA:1059,10.0
hpt,LineaA:1062,LineaA:1060,20.0
hpt,LineaA:1062,LineaA:1061,6.0
hpt,LineaA:1062,LineaA:1063,13.0
hpt,LineaA:1062,LineaA:1064,28.0
hpt,LineaA:1062,LineaA:1065,29.0
hpt,LineaA:1062,LineaA:1066,19.0
hpt,LineaA:1062,LineaA:1067,7.0
hpt,LineaA:1062,LineaA:1068,13.0
hpt,LineaA:1062,LineaA:1069,13.0
hpt,LineaA:1062,LineaA:1071,17.0
hpt,LineaA:1062,LineaA:1072,7.0
hpt,LineaA:1062,LineaA:1073,12.0
hpt,LineaA:1062,LineaA:1074,4.0
hpt,LineaA:1062,LineaA:1075,2.0
hpt,LineaA:1062,LineaA:1076,24.0
hpt,LineaA:1062,LineaB:1077,2.0
hpt,LineaA:1062,LineaB:1079,2.0
hpt,LineaA:1062,LineaB:1084,2.0
hpt,LineaA:1062,LineaB:1085,6.0
hpt,LineaA:1062,LineaB:1087,2.0
hpt,LineaA:1062,LineaB:1089,4.0
hpt,LineaA:1062,LineaB:1090,2.0
hpt,LineaA:1062,LineaC:1094,52.0
hpt,LineaA:1062,LineaC:1095,4.0
hpt,LineaA:1062,LineaC:1096,2.0
hpt,LineaA:1062,LineaC:1102,11.0
hpt,LineaA:1062,LineaD:1103,12.0
hpt,LineaA:1062,LineaD:1104,4.0
hpt,LineaA:1062,LineaD:1107,4.0
hpt,LineaA:1062,LineaD:1108,2.0
hpt,LineaA:1062,LineaD:1109,2.0
hpt,LineaA:1062,LineaD:1110,2.0
hpt,LineaA:1062,LineaD:1111,6.0
hpt,LineaA:1062,LineaD:1112,2.0
hpt,LineaA:1062,LineaD:1113,4.0
hpt,LineaA:1062,LineaD:1114,2.0
hpt,LineaA:1062,LineaD:1115,4.0
hpt,LineaA:1062,LineaD:1116,4.0
hpt,LineaA:1062,LineaD:1118,4.0
hpt,LineaA:1062,LineaE:1129,2.0
hpt,LineaA:1062,LineaE:1125,4.0
hpt,LineaA:1062,LineaE:1124,2.0
hpt,LineaA:1062,LineaE:1123,2.0
hpt,LineaA:1062,LineaE:1121,12.0
hpt,LineaA:1062,LineaE:1119,2.0
hpt,LineaA:1062,LineaH:1134,2.0
hpt,LineaA:1062,LineaH:1135,4.0
hpt,LineaA:1062,LineaH:1136,6.0
hpt,LineaA:1062,LineaH:1137,6.0
hpt,LineaA:1062,LineaH:1138,6.0
hpt,LineaA:1062,LineaH:1139,2.0
hpt,LineaA:1062,LineaH:1140,6.0
hpt,LineaA:1062,LineaH:1141,2.0
hpt,LineaA:1062,LineaH:1160,2.0
hpt,LineaA:1062,LineaH:1161,11.0
hpt,LineaA:1062,LineaH:1162,10.0
hpt,LineaA:1062,LineaH:1163,4.0
hpt,LineaA:1062,LineaE:1166,2.0
hpt,LineaA:1062,LineaE:1164,2.0
hpt,LineaA:1063,LineaA:1059,38.0
hpt,LineaA:1063,LineaA:1060,49.0
hpt,LineaA:1063,LineaA:1061,45.0
hpt,LineaA:1063,LineaA:1062,13.0
hpt,LineaA:1063,LineaA:1064,13.0
hpt,LineaA:1063,LineaA:1065,30.0
hpt,LineaA:1063,LineaA:1066,37.0
hpt,LineaA:1063,LineaA:1067,20.0
hpt,LineaA:1063,LineaA:1068,6.0
hpt,LineaA:1063,LineaA:1069,24.0
hpt,LineaA:1063,LineaA:1070,2.0
hpt,LineaA:1063,LineaA:1071,36.0
hpt,LineaA:1063,LineaA:1072,22.0
hpt,LineaA:1063,LineaA:1073,21.0
hpt,LineaA:1063,LineaA:1074,14.0
hpt,LineaA:1063,LineaA:1075,17.0
hpt,LineaA:1063,LineaA:1076,35.0
hpt,LineaA:1063,LineaB:1077,8.0
hpt,LineaA:1063,LineaB:1078,2.0
hpt,LineaA:1063,LineaB:1079,4.0
hpt,LineaA:1063,LineaB:1082,2.0
hpt,LineaA:1063,LineaB:1084,2.0
hpt,LineaA:1063,LineaB:1083,2.0
hpt,LineaA:1063,LineaB:1085,4.0
hpt,LineaA:1063,LineaB:1086,4.0
hpt,LineaA:1063,LineaB:1087,4.0
hpt,LineaA:1063,LineaB:1088,4.0
hpt,LineaA:1063,LineaB:1089,8.0
hpt,LineaA:1063,LineaB:1090,2.0
hpt,LineaA:1063,LineaB:1091,6.0
hpt,LineaA:1063,LineaC:1094,73.0
hpt,LineaA:1063,LineaC:1095,6.0
hpt,LineaA:1063,LineaC:1096,4.0
hpt,LineaA:1063,LineaC:1097,2.0
hpt,LineaA:1063,LineaC:1098,6.0
hpt,LineaA:1063,LineaC:1099,2.0
hpt,LineaA:1063,LineaC:1101,2.0
hpt,LineaA:1063,LineaC:1102,9.0
hpt,LineaA:1063,LineaD:1103,10.0
hpt,LineaA:1063,LineaD:1104,6.0
hpt,LineaA:1063,LineaD:1105,2.0
hpt,LineaA:1063,LineaD:1106,2.0
hpt,LineaA:1063,LineaD:1109,2.0
