comp_origen,comp_destino,paso5,sbase,nombre_origen,nombre_destino
LineaA:1060,LineaH:1138,68.01105162656577,36.0,San Jose de Flores,Humberto 1 / Jujuy
LineaA:1060,LineaH:1139,121.48387278153103,30.0,San Jose de Flores,Venezuela
LineaA:1060,LineaH:1140,1514.0106456739406,311.0,San Jose de Flores,Once / Plaza Miserere
LineaA:1060,LineaH:1141,302.0579442328969,56.0,San Jose de Flores,Corrientes / Pueyrredon
LineaA:1060,LineaH:1160,388.46797438761814,100.0,San Jose de Flores,Cordoba
LineaA:1060,LineaH:1161,434.28119169357603,210.0,San Jose de Flores,Pueyrredon / Santa Fe
LineaA:1060,LineaH:1162,417.9239884672626,171.0,San Jose de Flores,Las Heras
LineaA:1060,LineaH:1163,130.65178175158044,86.0,San Jose de Flores,Facultad de Derecho
LineaA:1061,LineaA:1059,123.62315421056215,253.0,Carabobo,San Pedrito
LineaA:1061,LineaA:1060,157.63642954112825,102.0,Carabobo,San Jose de Flores
LineaA:1061,LineaA:1062,80.74529232428962,35.0,Carabobo,Puan
LineaA:1061,LineaA:1063,236.51226883264107,285.0,Carabobo,Primera Junta
LineaA:1061,LineaA:1064,386.53764633896776,319.0,Carabobo,Acoyte
LineaA:1061,LineaA:1065,322.6096828694851,304.0,Carabobo,Rio de Janeiro
LineaA:1061,LineaA:1066,282.55576336747436,292.0,Carabobo,Castro Barros
LineaA:1061,LineaA:1067,198.65022186679954,193.0,Carabobo,Loria
LineaA:1061,LineaA:1069,191.37674425619417,290.0,Carabobo,Alberti
LineaA:1061,LineaA:1070,59.965289095114194,16.0,Carabobo,Pasco
LineaA:1061,LineaA:1071,512.0076577560047,582.0,Carabobo,Congreso
LineaA:1061,LineaA:1072,286.2492605330983,352.0,Carabobo,Saenz Peña
LineaA:1061,LineaA:1074,274.48831972854646,313.0,Carabobo,Piedras
LineaA:1061,LineaA:1076,779.6809276794937,1023.0,Carabobo,Plaza de Mayo
LineaA:1061,LineaB:1077,24.067967763397434,10.0,Carabobo,Juan Manuel de Rosas
LineaA:1061,LineaB:1078,6.4367065217668635,0.0,Carabobo,Echeverria
LineaA:1061,LineaB:1079,1.252369627408403,2.0,Carabobo,De Los Incas - Parque Chas
LineaA:1061,LineaB:1080,5.106696947807365,2.0,Carabobo,Tronador - Villa Ortuzar
LineaA:1061,LineaB:1081,12.503492263937721,6.0,Carabobo,Federico Lacroze
